"Regua";"Codigo";"Criativo";"Momento";"Etapa";"Gatilho";"Titulo (H1)";"Assunto";"Caracteres do assunto";"Preheader"
"14/08 - 5 momentos";"LOCCITANE_LP_M1_A";"E1 — Apresentação";"D+0";"M1 — Convite (assunto A)";"Todos os leads da base entram por aqui";"Bem-vinda ao universo L'Occitane au Brésil";"Revenda brasilidade com nosso Programa de Revendedoras L'Occitane au Brésil!";"76";"Cadastro sem custo, frete grátis e desconto de 20% a 35% em cada compra."
"14/08 - 5 momentos";"LOCCITANE_LP_M1_B";"E1 — Apresentação";"D+0";"M1 — Convite (assunto B, peça E1.1)";"Não abriu o E1: mesmo conteúdo, assunto novo";"Uma oportunidade da L'Occitane au Brésil está esperando por você";"Empreender e lucrar com produtos que encantam pode começar hoje!";"64";"Compre com desconto, venda pelo preço da revista e fique com a diferença."
"14/08 - 5 momentos";"LOCCITANE_LP_M2_A";"E3 — Benefício";"D+3";"M2 — Benefícios (assunto A)";"Abriu o M1";"As vantagens de revender L'Occitane au Brésil";"Lucre com produtos que as pessoas já amam: revenda L'Occitane au Brésil";"71";"Do 20% no primeiro pedido ao 35% no nível diamante: veja a régua completa."
"14/08 - 5 momentos";"LOCCITANE_LP_M2_B";"E3 — Benefício";"D+3";"M2 — Benefícios (assunto B)";"Não abriu o M1";"O melhor momento para empreender com beleza é agora";"Ainda dá tempo de começar a sua revenda L'Occitane au Brésil";"60";"Dá para começar com R$ 360, sem CNPJ e sem meta obrigatória todo mês."
"14/08 - 5 momentos";"LOCCITANE_LP_M3_A";"E3 — Calculadora";"D+5";"M3 — Calculadora (assunto A)";"Abriu o M2";"Faça a conta antes de começar";"Simule quanto você ganha revendendo L'Occitane au Brésil";"56";"Coloque o valor que pretende comprar e veja o seu lucro na hora."
"14/08 - 5 momentos";"LOCCITANE_LP_M3_B";"E3 — Calculadora";"D+5";"M3 — Calculadora (assunto B)";"Não abriu o M2";"Quanto dá para ganhar por mês?";"Quanto sobra para você em cada venda? Faça a conta";"50";"A calculadora mostra por quanto revender e quanto fica com você."
"14/08 - 5 momentos";"LOCCITANE_LP_M4_A";"E4 — Prova Social";"D+7";"M4 — Prova Social (assunto A)";"Abriu o M3";"Quem já vende conta como começou";"Revendedoras L'Occitane au Brésil contam como começaram";"55";"Três histórias de quem começou com uma primeira compra de R$ 360."
"14/08 - 5 momentos";"LOCCITANE_LP_M4_B";"E4 — Prova Social";"D+7";"M4 — Prova Social (assunto B)";"Não abriu o M3";"Elas já começaram. E você?";"Elas já estão vendendo L'Occitane au Brésil. E você?";"52";"Cadastro gratuito, sem CNPJ e com uma líder para orientar você."
"14/08 - 5 momentos";"LOCCITANE_LP_M5_A";"E5 — Overview do Programa";"D+10";"M5 — Overview do Programa (assunto A)";"Abriu o M4";"Comece agora a sua revenda L'Occitane au Brésil";"Garanta seu cadastro de revendedora L'Occitane au Brésil";"56";"Só precisa de CPF, e-mail e um telefone com WhatsApp para se cadastrar."
"14/08 - 5 momentos";"LOCCITANE_LP_M5_B";"E5 — Overview do Programa";"D+10";"M5 — Overview do Programa (assunto B)";"Não abriu o M4: última tentativa da onda";"Última chamada para a revenda L'Occitane au Brésil";"Aproveite a chance e seja uma revendedora L'Occitane au Brésil!";"63";"Último e-mail desta sequência sobre o programa de revenda."
"Anterior";"LOCCITANE_LP_M1";"E1 — Apresentação";"D+0";"E-mail 1 — Apresentação";"Entrada na jornada";"Bem-vinda ao universo L'Occitane au Brésil";"Revenda brasilidade com nosso Programa de Revendedoras L'Occitane au Brésil!";"76";"Cadastro sem custo, frete grátis e desconto de 20% a 35% em cada compra."
"Anterior";"LOCCITANE_LP_M2_ABRIU";"E2 — Reforço";"D+4";"E-mail 2 — Reforço";"Abriu o E-mail 1";"Renda extra com produtos premiados e clientes fiéis à marca";"Revendedoras L'Occitane au Brésil vendem com a força de uma marca global";"72";"Linhas que as clientes já reconhecem e um desconto que vira o seu lucro."
"Anterior";"LOCCITANE_LP_M2_NAO_ABRIU";"E1 — Apresentação";"D+4";"Reenvio do E-mail 1 (assunto novo)";"Não abriu o E-mail 1";"Uma oportunidade da L'Occitane au Brésil está esperando por você";"Empreender e lucrar com produtos que encantam pode começar hoje!";"64";"Compre com desconto, venda pelo preço da revista e fique com a diferença."
"Anterior";"LOCCITANE_LP_M3_ABRIU";"E3 — Benefício";"D+7";"E-mail 3 — Benefício, versão 1";"Abriu o E-mail 2";"As vantagens de revender L'Occitane au Brésil";"Lucre com produtos que as pessoas já amam: revenda L'Occitane au Brésil";"71";"Do 20% no primeiro pedido ao 35% no nível diamante: veja a régua completa."
"Anterior";"LOCCITANE_LP_M3_NAO_ABRIU";"E3 — Benefício";"D+7";"E-mail 3 — Benefício, versão 2";"Abriu o E-mail 1 e não abriu o E-mail 2";"O melhor momento para empreender com beleza é agora";"Ainda dá tempo de começar a sua revenda L'Occitane au Brésil";"60";"Dá para começar com R$ 360, sem CNPJ e sem meta obrigatória todo mês."
"Anterior";"LOCCITANE_LP_M2_P2_ABRIU";"E2 — Reforço";"D+7";"E-mail 2 — Reforço, versão 1";"Abriu o reenvio do E-mail 1";"Por que revender L'Occitane au Brésil";"Renda extra com a força da L'Occitane au Brésil ao seu lado";"59";"Marca reconhecida, margem de 20% a 35% e apoio de uma líder pelo WhatsApp."
"Anterior";"LOCCITANE_LP_M2_P2_NAO_ABRIU";"E2 — Reforço";"D+7";"E-mail 2 — Reforço, versão 2";"Não abriu o reenvio do E-mail 1";"Empreenda com o apoio de quem é referência em cosmética no Brasil";"O que a L'Occitane au Brésil preparou para quem quer empreender";"63";"Líder no WhatsApp, atendimento oficial, frete grátis e pagamento em 10x."
"Anterior";"LOCCITANE_LP_M3_P2_ABRIU";"E3 — Benefício";"D+10";"E-mail 3 — Benefício, versão 1 (lead reengajado)";"Reengajou pelo reenvio do E-mail 1";"Comece agora a sua revenda L'Occitane au Brésil";"Garanta seu cadastro de revendedora L'Occitane au Brésil";"56";"Só precisa de CPF, e-mail e um telefone com WhatsApp para se cadastrar."
"Anterior";"LOCCITANE_LP_M4_ABRIU";"E3 — Benefício";"D+10";"E-mail 3 — Benefício, versão 2";"Abriu o reenvio e não abriu o E-mail 2";"Falta um passo pro seu negócio começar";"Garanta seu cadastro e seja revendedora L'Occitane au Brésil";"60";"A marca, os produtos e o apoio já estão prontos. Falta o seu cadastro."
"Anterior";"LOCCITANE_LP_M4_NAO_ABRIU";"E3 — Benefício";"D+10";"E-mail 3 — Benefício, versão 3 (última chamada)";"Última tentativa da jornada";"Última chamada para a revenda L'Occitane au Brésil";"Aproveite a chance e seja uma revendedora L'Occitane au Brésil!";"63";"Último e-mail desta sequência sobre o programa de revenda."
"Anterior";"LOCCITANE_LP_CONFIRMACAO_EMAIL";"Confirmação de cadastro";"Automático";"Confirmação de cadastro";"Lead se cadastrou na LP (sai da jornada)";"Bem-vinda ao Programa de Revendedoras L'Occitane au Brésil!";"A L'Occitane au Brésil recebeu suas informações e seu cadastro está confirmado!";"79";"Veja os próximos passos para montar o seu primeiro pedido."
